"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "TOML", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\.prettierrc.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 310, 0, 0, 0, 6, 89, 405
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\package-lock.json", "JSON", 7453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7454
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\package.json", "JSON", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\public\book.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 1, 13
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\public\netlify.toml", "TOML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\App.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\Routes.tsx", "TypeScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 3, 3, 70
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\ButtonOptions\ButtonOptions.test.tsx", "TypeScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 1, 5, 112
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\ButtonOptions\ButtonOptions.tsx", "TypeScript JSX", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 4, 8, 143
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Button\Button.test.tsx", "TypeScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 10, 92
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Button\Button.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Error\Error.test.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 3, 49
