Date : 2023-12-04 20:12:45
Directory : c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker
Total : 92 files,  11329 codes, 221 comments, 524 blanks, all 12074 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      7,538 |          0 |          5 |      7,543 |
| TypeScript JSX     |         52 |      2,529 |        164 |        311 |      3,004 |
| TypeScript         |         25 |        860 |         47 |        110 |      1,017 |
| Markdown           |          1 |        310 |          6 |         89 |        405 |
| JavaScript         |          3 |         38 |          1 |          3 |         42 |
| JSON with Comments |          1 |         22 |          2 |          3 |         27 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| XML                |          2 |         12 |          1 |          1 |         14 |
| TOML               |          1 |          4 |          0 |          0 |          4 |
| CSS                |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |         92 |     11,329 |        221 |        524 |     12,074 |
| . (Files)                                                                                                                    |         12 |      7,937 |         12 |        104 |      8,053 |
| public                                                                                                                       |          2 |         15 |          1 |          1 |         17 |
| src                                                                                                                          |         78 |      3,377 |        208 |        419 |      4,004 |
| src (Files)                                                                                                                  |          7 |        117 |          7 |         16 |        140 |
| src\assets                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| src\common                                                                                                                   |         19 |      1,006 |         29 |        102 |      1,137 |
| src\common\Button                                                                                                            |          2 |        118 |          1 |         17 |        136 |
| src\common\ButtonOptions                                                                                                     |          2 |        237 |          5 |         13 |        255 |
| src\common\Error                                                                                                             |          2 |         64 |          1 |          7 |         72 |
| src\common\Layout                                                                                                            |          4 |        200 |         12 |         23 |        235 |
| src\common\Layout\Header                                                                                                     |          2 |        136 |         12 |         14 |        162 |
| src\common\Layout\Layout                                                                                                     |          2 |         64 |          0 |          9 |         73 |
